,01-Nov,02-Nov,03-Nov,04-Nov,05-Nov,06-Nov,07-Nov,08-Nov,09-Nov,10-Nov,11-Nov,12-Nov,13-Nov,14-Nov,15-Nov,16-Nov,17-Nov,18-Nov,19-Nov,20-Nov,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov
Total,272.97,272.92,266.82,303.04,306.2,304.29,304.29,304.29,246.17,212.06,236.11,234.34,222.0,263.26,191.25,208.89,169.47,159.56,163.29,143.25,312.24,311.98,311.35,312.03,310.18,310.18,310.18,310.18
4261-MHE-42,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,,5.89,5.89,,5.89,,5.89,5.89,5.89,,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4261-MME-41,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,,5.89,,,5.89,,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4261-PCT-36,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,,5.89,5.89,5.89,5.89,,5.89,,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4261-SHB-5,17.66,17.66,17.66,17.66,17.66,17.66,17.66,17.66,,17.66,11.78,17.66,11.78,17.66,17.66,17.66,11.78,11.78,5.89,11.78,17.66,17.66,17.66,17.66,17.66,17.66,17.66,17.66
4261-SPO-43,47.8,47.75,47.73,41.84,47.1,47.1,47.1,47.1,41.22,35.33,41.31,41.22,41.22,47.3,29.63,23.65,35.62,23.97,29.44,23.55,47.63,47.9,47.7,47.8,47.1,47.1,47.1,47.1
4261-SQO-44,11.78,11.78,5.89,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,5.89,5.89,11.78,5.89,5.89,5.89,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78
4261-SYY-4,17.66,17.66,17.66,17.66,17.66,17.66,17.66,17.66,17.66,17.66,11.78,11.78,11.78,17.66,17.66,11.78,17.66,11.78,5.89,5.89,17.66,17.66,17.66,17.66,17.66,17.66,17.66,17.66
4278-MLI-1,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,,5.89,5.89,5.89,5.89,,5.89,,,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4278-SCT-36,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,,5.89,5.89,,,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4278-SPO-43,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,,,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4286-MLI-1,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,,5.89,5.89,,5.89,5.89,5.89,5.89,,,,,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4286-SYY-4,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,,,,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4289-MME-41,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,,5.89,5.89,5.89,5.89,5.89,5.89,,,,,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
