,29-Nov,01-Dec,02-Dec,03-Dec,04-Dec
Total,310.18,229.53,229.53,229.53,229.53
4261-MHE-42-RG,5.89,5.89,5.89,5.89,5.89
4261-MME-41-RG,5.89,5.89,5.89,5.89,5.89
4261-PCT-36-RG,5.89,5.89,5.89,5.89,5.89
4261-SHB-5-RG,17.66,17.66,17.66,17.66,17.66
4261-SPO-43-RG,47.1,47.1,47.1,47.1,47.1
4261-SQO-44-RG,11.78,11.78,11.78,11.78,11.78
4261-SYY-4-RG,17.66,17.66,17.66,17.66,17.66
4278-MLI-1-RG,5.89,5.89,5.89,5.89,5.89
4278-SCT-36-RG,5.89,5.89,5.89,5.89,5.89
4278-SPO-43-RG,5.89,5.89,5.89,5.89,5.89
4286-MLI-1-RG,5.89,5.89,5.89,5.89,5.89
4286-SYY-4-RG,5.89,5.89,5.89,5.89,5.89
4289-MME-41-RG,5.89,5.89,5.89,5.89,5.89
4289-SPO-43-RG,5.89,5.89,5.89,5.89,5.89
4292-MNX-2-RG,5.89,,,,
4295-M24-83-RG,19.71,,,,
4295-MBS-84-RG,19.71,,,,
4296-MNX-2-RG,5.89,5.89,5.89,5.89,5.89
4297-MSY-85-RG,19.71,19.71,19.71,19.71,19.71
4298-MNX-2-RG,5.89,,,,
4298-MTW-3-RG,5.89,,,,
4299-MHE-42-RG,5.89,,,,
4299-MTW-3-RG,5.89,,,,
4301-MLI-1-RG,5.89,5.89,5.89,5.89,5.89
4301-MNX-2-RG,5.89,5.89,5.89,5.89,5.89
4302-MLI-1-RG,11.78,11.78,11.78,11.78,11.78
4302-MMX-89-RG,9.6,9.6,9.6,9.6,9.6
4302-MNX-2-RG,11.78,11.78,11.78,11.78,11.78
4303-MHE-42-RG,5.89,,,,
4303-MTW-3-RG,5.89,,,,
4304-MTW-3-RG,5.89,5.89,5.89,5.89,5.89
