,01-Dec,02-Dec,03-Dec,04-Dec
Total,229.53,229.53,229.53,229.53
4261-MHE-42,5.89,5.89,5.89,5.89
4261-MME-41,5.89,5.89,5.89,5.89
4261-PCT-36,5.89,5.89,5.89,5.89
4261-SHB-5,17.66,17.66,17.66,17.66
4261-SPO-43,47.1,47.1,47.1,47.1
4261-SQO-44,11.78,11.78,11.78,11.78
4261-SYY-4,17.66,17.66,17.66,17.66
4278-MLI-1,5.89,5.89,5.89,5.89
4278-SCT-36,5.89,5.89,5.89,5.89
4278-SPO-43,5.89,5.89,5.89,5.89
4286-MLI-1,5.89,5.89,5.89,5.89
4286-SYY-4,5.89,5.89,5.89,5.89
4289-MME-41,5.89,5.89,5.89,5.89
4289-SPO-43,5.89,5.89,5.89,5.89
4296-MNX-2,5.89,5.89,5.89,5.89
4297-MSY-85,19.71,19.71,19.71,19.71
4301-MLI-1,5.89,5.89,5.89,5.89
4301-MNX-2,5.89,5.89,5.89,5.89
4302-MLI-1,11.78,11.78,11.78,11.78
4302-MMX-89,9.6,9.6,9.6,9.6
4302-MNX-2,11.78,11.78,11.78,11.78
4304-MTW-3,5.89,5.89,5.89,5.89
