,06-Dec,07-Dec,08-Dec,09-Dec,10-Dec,11-Dec
Total,218.82,212.89,201.16,206.95,217.75,205.98
4261-MHE-42,5.89,5.89,5.89,5.89,5.89,5.89
4261-MME-41,5.89,5.89,5.89,5.89,5.89,5.89
4261-PCT-36,5.89,5.89,5.89,5.89,5.89,5.89
4261-SHB-5,17.66,11.78,17.66,17.66,17.66,17.66
4261-SPO-43,48.17,48.12,36.39,42.19,47.1,23.55
4261-SQO-44,5.89,11.78,11.78,,5.89,11.78
4261-SYY-4,17.66,17.66,11.78,17.66,17.66,17.66
4278-SCT-36,5.89,5.89,5.89,5.89,5.89,5.89
4278-SPO-43,5.89,5.89,5.89,5.89,5.89,5.89
4286-MLI-1,5.89,5.89,5.89,5.89,5.89,5.89
4286-SYY-4,5.89,5.89,5.89,5.89,,5.89
4289-MME-41,5.89,,5.89,5.89,5.89,5.89
4289-SPO-43,5.89,5.89,,5.89,5.89,5.89
4296-MNX-2,5.89,5.89,5.89,5.89,5.89,5.89
4297-MSY-85,19.71,19.71,19.71,19.71,19.71,19.71
4301-MLI-1,5.89,5.89,5.89,5.89,5.89,5.89
4301-MNX-2,5.89,5.89,5.89,5.89,5.89,5.89
4302-MLI-1,11.78,11.78,11.78,11.78,11.78,11.78
4302-MMX-89,9.6,9.6,9.6,9.6,9.6,9.6
4302-MNX-2,11.78,5.89,5.89,11.78,11.78,11.78
4304-MTW-3,5.89,5.89,5.89,5.89,5.89,5.89
4278-MLI-1,,5.89,5.89,,5.89,5.89
